TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-21 20:14:20,1790021660004,zeal-admin-rose.vercel.app/,GET,_rsc=to9i9,200,42bxm-1790021660004-beb2e17c6260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,100,bom1,234,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVBA8KSN2NREDZZFZZVJ,85jNPfmiJtRZ,1,,
2026-09-21 20:14:20,1790021660004,zeal-admin-rose.vercel.app/,GET,_rsc=to9i9,200,42bxm-1790021660004-beb2e17c6260,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/index.rsc,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,10,iad1,235,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVHM914918BWNPG86RTY,juHBRfzMqLUR,1,,
2026-09-21 20:14:20,1790021660001,zeal-admin-rose.vercel.app/register,GET,_rsc=to9i9,200,5qhl5-1790021660001-0b6dc06f24a4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/register.rsc,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,8,iad1,235,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVQ2ZA79PWFGR80VQ6VA,juHBRfzMqLUR,1,,
2026-09-21 20:14:20,1790021660001,zeal-admin-rose.vercel.app/register,GET,_rsc=to9i9,200,5qhl5-1790021660001-0b6dc06f24a4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,93,bom1,224,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVB568GDZ8R1E983XA3N,3jNgFtzhVMFw,1,,
2026-09-21 20:14:20,1790021660000,zeal-admin-rose.vercel.app/forgot-password,GET,_rsc=17yrj,404,ldtxc-1790021660000-8bcd5748ec5b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,98,bom1,235,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVB3R6ADKMKJNTJSHXP2,yER1WYqNpmIK,1,,
2026-09-21 20:14:20,1790021660000,zeal-admin-rose.vercel.app/forgot-password,GET,_rsc=17yrj,404,ldtxc-1790021660000-8bcd5748ec5b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/_not-found,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,11,iad1,238,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNVHFZWTKCV9QZ1QQC3VW,8fnem1mYetwa,1,,
2026-09-21 20:14:19,1790021659613,zeal-admin-rose.vercel.app/login,GET,_rsc=ivt4h,200,5qhl5-1790021659613-7a0d8e2a8bfb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/login.rsc,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,9,iad1,238,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNV52MDVT14NQ5Y8B4QAD,8fnem1mYetwa,1,,
2026-09-21 20:14:19,1790021659613,zeal-admin-rose.vercel.app/login,GET,_rsc=ivt4h,200,5qhl5-1790021659613-7a0d8e2a8bfb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,88,bom1,234,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNTZ057CKSY14NJVHSMJA,yER1WYqNpmIK,1,,
2026-09-21 20:14:17,1790021657225,zeal-admin-rose.vercel.app/register,GET,_rsc=jcpew,200,ldtxc-1790021657225-241abb33b097,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,middleware,middleware,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,252,bom1,234,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNRMB1M39QMAG9HM0V03Z,yER1WYqNpmIK,2,,
2026-09-21 20:14:17,1790021657225,zeal-admin-rose.vercel.app/register,GET,_rsc=jcpew,200,ldtxc-1790021657225-241abb33b097,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/153.0.0.0 Safari/537.36",,production,main,MISS,function,/register.rsc,zeal-admin-rose.vercel.app,zeal-admin-6ojt7bbfn-zeal666app-4771.vercel.app,dpl_ALb9kAxDeVQJRw9abKq8rqtu3NDe,5,iad1,237,2048,,prj_NeiMdBEEXJd32nbBVHSDhGs8Iodp,,,01M32SNR4EZK0X9BTP6166P9GT,8fnem1mYetwa,3,,
